Package Name,Description,Created,Modified,Versions Count,Version,Version Size (MB),Version Created,Version Modified,Download Count
spring-petclinic,,2022-06-19T16:08:36.977Z,2025-06-16T20:47:52.638Z,295,sha256__a983222bb3fe717d8faced238e0aea9d2faae4b24cfe77dc0c4a3012fb02653e,201.12,2025-03-07T20:22:03.781Z,2025-03-07T20:20:19.434Z,0
spring-petclinic,,2022-06-19T16:08:36.977Z,2025-06-16T20:47:52.638Z,295,sha256__20484ef1f6b8a61473fffbc70ec1ea2a6b4ad79ba274faa75e6b67eeae8e0932,199.87,2025-02-21T03:43:19.07Z,2025-02-21T03:42:08.45Z,0
spring-petclinic,,2022-06-19T16:08:36.977Z,2025-06-16T20:47:52.638Z,295,sha256__493413e1fca2b46b87de76238710eee1a54694f83b0fe9b5898163a059f24c1e,0.0,2025-02-21T03:43:19.142Z,2025-02-21T03:42:08.364Z,0
spring-petclinic,,2022-06-19T16:08:36.977Z,2025-06-16T20:47:52.638Z,295,sha256__3605756cbedd1ddad0ecfb229ad0fa611d7a4782bc95381c01d3cb88d98af76e,0.0,2025-03-15T00:26:24.179Z,2025-03-15T00:25:01.95Z,0
spring-petclinic,,2022-06-19T16:08:36.977Z,2025-06-16T20:47:52.638Z,295,sha256__318981a1bf50acd9328c6fd38e69a37e7c2d462f4ddd42e85386f26b9fa72991,0.0,2025-05-15T02:09:37.192Z,2025-05-15T02:08:10.376Z,0
spring-petclinic,,2022-06-19T16:08:36.977Z,2025-06-16T20:47:52.638Z,295,sha256__12702610c0dbefd94c4fcb32c04517db6c4ffddc91c00d4d02c919a0733e225b,0.0,2025-03-15T00:00:23.732Z,2025-03-14T23:58:40.261Z,0
spring-petclinic,,2022-06-19T16:08:36.977Z,2025-06-16T20:47:52.638Z,295,sha256__af9927b34c07d4d78d07b7f47217a007a8a74b7e5405695dc287891c7d9f8bfa,201.12,2025-02-11T17:00:17.958Z,2025-02-11T16:53:02.977Z,0
spring-petclinic,,2022-06-19T16:08:36.977Z,2025-06-16T20:47:52.638Z,295,sha256__9391c22b093240d5db75213c9db9ea1b8ef9aa0f5c0272e3b200f2c5060437b9,0.0,2025-04-15T19:33:33.487Z,2025-04-15T19:32:14.413Z,0
spring-petclinic,,2022-06-19T16:08:36.977Z,2025-06-16T20:47:52.638Z,295,sha256__9281cb5399c5279c5f3189e9590ad7af0f129e1eda47331ec2d4af66ed9cff81,199.87,2025-04-17T19:12:52.607Z,2025-04-17T19:11:07.174Z,0
spring-petclinic,,2022-06-19T16:08:36.977Z,2025-06-16T20:47:52.638Z,295,sha256__8773e49fa3248881a4a4730944c8dfba677757a0d9c2b6b589b91ad1b8216fae,199.87,2025-02-11T17:00:17.957Z,2025-02-11T16:53:02.969Z,0
spring-petclinic,,2022-06-19T16:08:36.977Z,2025-06-16T20:47:52.638Z,295,sha256__f8208eb8d3b9dba94f0d27d21892df994633ad8d386abfb618230e252c9946f6,0.0,2025-03-15T00:38:24.389Z,2025-03-15T00:37:02.795Z,0
spring-petclinic,,2022-06-19T16:08:36.977Z,2025-06-16T20:47:52.638Z,295,sha256__fe8058c8424857490f88b71407ea6b7997d58a436c4d0e4e045816abe85ef604,199.87,2025-02-14T23:54:48.587Z,2025-02-14T23:53:03.744Z,0
spring-petclinic,,2022-06-19T16:08:36.977Z,2025-06-16T20:47:52.638Z,295,sha256__7415b5f5d8c167d8794cc2564c3c4075897e2d59a094b4af931d139ccfe2f11a,201.12,2025-05-17T03:15:56.51Z,2025-05-17T03:14:43.874Z,1
spring-petclinic,,2022-06-19T16:08:36.977Z,2025-06-16T20:47:52.638Z,295,sha256__e6957b06c2f259b38ac86f037ec6a014ac5ff041352267ae93b0c0a3dda572c0,0.0,2025-04-17T19:12:52.958Z,2025-04-17T19:11:07.8Z,0
spring-petclinic,,2022-06-19T16:08:36.977Z,2025-06-16T20:47:52.638Z,295,sha256__ecc5483ade9cafb2169aa513728839b377e79805d523f22cd12ede825096c997,199.87,2025-03-15T00:49:24.755Z,2025-03-15T00:47:40.86Z,0
spring-petclinic,,2022-06-19T16:08:36.977Z,2025-06-16T20:47:52.638Z,295,sha256__4922de52e39d69cd5aff43b405649e9bf34611b038d880476a247a6e642cecec,199.87,2025-03-15T18:06:31.953Z,2025-03-15T18:04:57.594Z,0
soleng-backstage,,2024-04-03T20:01:07.875Z,2024-04-03T22:34:28.205Z,1,,0.0,,,0
soleng,,2022-11-28T08:01:55.656Z,2022-11-28T08:01:55.656Z,1,,0.0,,,0
smals-demo,,2024-08-30T08:05:41.396Z,2024-08-30T08:50:54.328Z,2,,0.0,,,0
single-sample-nuget,,2024-12-03T09:42:37.952Z,2024-12-03T09:40:45.763Z,1,,0.0,,,0
simple-project-app,,2025-02-14T17:11:40.421Z,2025-02-14T17:09:40.824Z,1,,0.0,,,0
simple_example_nuget__docker_aspnet,,2025-04-22T07:44:47.837Z,2025-04-22T07:44:47.837Z,1,,0.0,,,0
simple_example_nuget__docker,,2025-04-21T15:42:59.338Z,2025-04-22T07:34:05.173Z,5,,0.0,,,0
shrishrirang/alpine2,,2025-02-20T22:01:15.216Z,2025-02-20T21:59:19.709Z,1,,0.0,,,0
security-mvn-demo,,2025-06-18T02:30:51.049Z,2025-06-18T02:29:50.294Z,1,,0.0,,,0
